date,index_value,change,volume
2025-04-22,2486.64,0.07,416680
2025-04-21,2488.42,0.2,428977
2025-04-18,2483.42,0.53,450985
2025-04-17,2470.41,-0.94,601739
2025-04-17,2470.41,0.94,601739
2025-04-16,2447.43,1.21,613174
2025-04-15,2477.41,0.88,560340
2025-04-14,2455.89,0.95,488618
2025-04-11,2432.72,0.5,369703
2025-04-10,2445.06,6.6,670388
2025-04-09,2293.7,1.74,699642
2025-04-09,2293.7,1.74,699642
2025-04-08,2334.23,0.26,557018
2025-04-07,2328.2,5.57,619501
